label	aaindex	reslike	combined
0.0	2.2069995e-05	0.952762	0.47639203
0.0	0.9961023	0.9287809	0.96244156
0.0	0.2690528	0.0029337704	0.13599329
0.0	0.9594185	0.9706303	0.96502435
0.0	0.0008945763	0.014906049	0.007900313
0.0	5.5511697e-05	0.009630173	0.0048428425
0.0	0.0013604164	0.9570966	0.4792285
0.0	0.0151771605	0.02360642	0.01939179
0.0	0.0034799576	0.0043255985	0.003902778
0.0	0.17637712	0.9764265	0.5764018
1.0	0.9730923	0.9949462	0.9840193
0.0	0.0013768077	0.00065484643	0.0010158271
0.0	9.2994475e-07	0.77094084	0.3854709
0.0	1.1304612e-05	0.8571287	0.42857
1.0	0.96787786	0.75169444	0.85978615
0.0	1.1952628e-05	0.21295637	0.10648416
0.0	0.00039246678	0.006688297	0.0035403818
0.0	0.9987918	0.9940606	0.9964262
0.0	0.00015690923	0.08239803	0.04127747
0.0	0.0001045932	0.06985682	0.034980707
0.0	8.1440725e-05	0.0015993416	0.00084039115
0.0	0.9998107	0.99713135	0.998471
0.0	0.8825209	0.97195536	0.9272381
0.0	0.0069044232	0.9875133	0.49720886
0.0	0.007889658	0.15083158	0.07936062
0.0	0.9207962	0.96378654	0.9422914
0.0	0.9415426	0.95933783	0.9504402
0.0	0.6131158	0.9952779	0.80419683
0.0	0.9693432	0.9967114	0.9830273
0.0	0.42098528	0.92735195	0.6741686
0.0	0.78436387	0.075653285	0.4300086
0.0	0.97418475	0.16733983	0.5707623
0.0	0.9982134	0.9914851	0.99484926
0.0	0.79773164	0.94484603	0.87128884
0.0	0.8986871	0.9955987	0.9471429
0.0	0.99931806	0.99810874	0.9987134
0.0	0.61838716	0.67247593	0.6454315
1.0	0.99876714	0.99898386	0.9988755
1.0	0.98042583	0.971451	0.97593844
0.0	0.4923372	0.14775023	0.3200437
0.0	0.3636184	0.98279715	0.67320776
0.0	0.96802217	0.99821335	0.98311776
0.0	0.76847076	0.7323197	0.75039524
0.0	0.014838457	0.110875964	0.06285721
0.0	0.99977374	0.980446	0.99010986
0.0	0.0055452883	0.19930807	0.10242668
0.0	0.9236615	0.97222245	0.94794196
0.0	0.87952065	0.95942295	0.9194718
0.0	0.045673013	0.7615013	0.40358716
0.0	0.38521945	0.0010923147	0.19315588
0.0	0.6062136	0.9944801	0.80034685
0.0	0.99927455	0.9941064	0.9966905
0.0	0.0090124905	0.30013263	0.15457256
0.0	0.39897022	0.66194886	0.5304595
0.0	0.98460287	0.9628782	0.9737406
1.0	0.9973793	0.9103637	0.9538715
0.0	0.7146385	0.6998647	0.70725155
0.0	0.9664892	0.9573687	0.96192896
0.0	0.00034043193	0.0008569062	0.00059866905
1.0	0.99932635	0.9874505	0.9933884
0.0	0.026531816	0.21243039	0.1194811
0.0	0.01033023	0.75657934	0.3834548
0.0	0.14397663	0.035797894	0.08988726
0.0	0.9991523	0.8628134	0.9309828
