FineTune_last_one	FineTune_last_two	FineTune_last_three
0.19347692	0.18560007	0.07645127
0.83346117	0.8554375	0.89616466
0.78315586	0.70789766	0.867752
0.9452914	0.9396687	0.9293349
0.8172562	0.9803388	0.76929617
0.15118998	0.45886302	0.10069224
0.3460248	0.4753682	0.5363388
0.8136102	0.76661766	0.7084168
0.8841177	0.92681015	0.8753153
0.89706045	0.80772805	0.9164368
0.78915524	0.90538806	0.8894535
0.8025717	0.8071511	0.6517668
0.9987513	0.9985992	0.99697876
0.8691666	0.91217625	0.87226886
0.97739196	0.96241426	0.9882931
0.9584235	0.92522657	0.9885564
0.9729515	0.86728823	0.9864464
0.49141455	0.34874305	0.40807793
0.90241444	0.8995439	0.8371098
0.5018813	0.43720686	0.19472212
0.997404	0.99078894	0.9917295
0.2661049	0.4340512	0.17404512
0.8405421	0.82871246	0.93711877
